Date,BEst P/E Ratio,S5ENRS INDEX ,BEST P/E Ratio ,1FY Local CCY
2023-03-09,10.0069,,,
2023-03-08,10.194,,,
2023-03-07,10.3025,,,
2023-03-06,10.5263,,,
2023-03-03,10.4507,,,
2023-03-02,10.3329,,,
2023-03-01,10.198,,,
2023-02-28,10.0264,,,
2023-02-27,10.1545,,,
2023-02-24,10.0894,,,
2023-02-23,10.0851,,,
2023-02-22,9.9534,,,
2023-02-21,10.0147,,,
2023-02-20,10.0414,,,
2023-02-17,10.0132,,,
2023-02-16,10.3933,,,
2023-02-15,10.4595,,,
2023-02-14,10.6329,,,
2023-02-13,10.6292,,,
2023-02-10,10.698,,,
2023-02-09,10.285,,,
2023-02-08,10.3587,,,
2023-02-07,10.448,,,
2023-02-06,10.1404,,,
2023-02-03,10.1833,,,
2023-02-02,10.2079,,,
2023-02-01,8.3014,,,
2023-01-31,8.4605,,,
2023-01-30,8.3772,,,
2023-01-27,8.5711,,,
2023-01-26,8.7459,,,
2023-01-25,8.4825,,,
2023-01-24,8.4891,,,
2023-01-23,8.4927,,,
2023-01-20,8.4913,,,
2023-01-19,8.388,,,
2023-01-18,8.3032,,,
2023-01-17,8.4513,,,
2023-01-16,8.4964,,,
2023-01-13,8.4958,,,
2023-01-12,8.4893,,,
2023-01-11,8.3269,,,
2023-01-10,8.2867,,,
2023-01-09,8.2314,,,
2023-01-06,8.212,,,
2023-01-05,8.0634,,,
2023-01-04,7.9029,,,
2023-01-03,7.8995,,,
2023-01-02,8.1986,,,
2022-12-30,8.1964,,,
2022-12-29,8.1348,,,
2022-12-28,8.0579,,,
2022-12-27,8.2383,,,
2022-12-26,8.1482,,,
2022-12-23,8.1482,,,
2022-12-22,7.8988,,,
2022-12-21,8.0862,,,
2022-12-20,7.9346,,,
2022-12-19,7.8158,,,
2022-12-16,7.8916,,,
2022-12-15,7.9973,,,
2022-12-14,8.038,,,
2022-12-13,8.0715,,,
2022-12-12,7.9281,,,
2022-12-09,7.7224,,,
2022-12-08,7.8898,,,
2022-12-07,7.9167,,,
2022-12-06,7.9367,,,
2022-12-05,8.1564,,,
2022-12-02,8.3943,,,
2022-12-01,8.4438,,,
2022-11-30,8.4806,,,
2022-11-29,8.4942,,,
2022-11-28,8.387,,,
2022-11-25,8.6216,,,
2022-11-24,8.6478,,,
2022-11-23,8.6478,,,
2022-11-22,8.7469,,,
2022-11-21,8.4986,,,
2022-11-18,8.6244,,,
2022-11-17,8.7031,,,
2022-11-16,8.7112,,,
2022-11-15,8.9263,,,
2022-11-14,8.8328,,,
2022-11-11,8.8807,,,
2022-11-10,8.6398,,,
2022-11-09,8.4601,,,
2022-11-08,8.8994,,,
2022-11-07,8.8984,,,
2022-11-04,8.7571,,,
2022-11-03,8.6796,,,
2022-11-02,8.5145,,,
2022-11-01,8.7335,,,
2022-10-31,8.6537,,,
2022-10-28,8.6787,,,
2022-10-27,8.689,,,
2022-10-26,8.665,,,
2022-10-25,8.5508,,,
2022-10-24,8.5619,,,
2022-10-21,8.519,,,
2022-10-20,8.2933,,,
2022-10-19,8.264,,,
2022-10-18,8.0305,,,
2022-10-17,7.9741,,,
2022-10-14,7.832,,,
2022-10-13,8.1469,,,
2022-10-12,7.8235,,,
2022-10-11,7.7277,,,
2022-10-10,7.7734,,,
2022-10-07,7.9568,,,
2022-10-06,8.0154,,,
2022-10-05,7.9311,,,
2022-10-04,7.7888,,,
2022-10-03,7.4515,,,
2022-09-30,7.0284,,,
2022-09-29,7.0826,,,
2022-09-28,7.0916,,,
2022-09-27,6.7834,,,
2022-09-26,6.6951,,,
2022-09-23,6.8691,,,
2022-09-22,7.3649,,,
2022-09-21,7.3898,,,
2022-09-20,7.5119,,,
2022-09-19,7.5605,,,
2022-09-16,7.6089,,,
2022-09-15,7.7805,,,
2022-09-14,7.9727,,,
2022-09-13,7.7177,,,
2022-09-12,7.9117,,,
2022-09-09,7.8022,,,
2022-09-08,7.6206,,,
2022-09-07,7.5875,,,
2022-09-06,7.683,,,
2022-09-05,7.7719,,,
2022-09-02,7.7719,,,
2022-09-01,7.6325,,,
2022-08-31,7.819,,,
2022-08-30,7.8863,,,
2022-08-29,8.174,,,
2022-08-26,8.1655,,,
2022-08-25,8.254,,,
2022-08-24,8.1967,,,
2022-08-23,8.0962,,,
